date,Hour,order_id
2015-01-01,11,2
2015-01-01,12,7
2015-01-01,13,10
2015-01-01,14,7
2015-01-01,15,7
2015-01-01,16,4
2015-01-01,17,8
2015-01-01,18,8
2015-01-01,19,6
2015-01-01,20,5
2015-01-01,21,2
2015-01-01,22,3
2015-01-02,11,4
2015-01-02,12,10
2015-01-02,13,3
2015-01-02,14,3
2015-01-02,15,4
2015-01-02,16,4
2015-01-02,17,5
2015-01-02,18,12
2015-01-02,19,8
2015-01-02,20,5
2015-01-02,21,5
2015-01-02,22,4
2015-01-03,11,3
2015-01-03,12,1
2015-01-03,13,5
2015-01-03,14,5
2015-01-03,15,9
2015-01-03,16,7
2015-01-03,17,11
2015-01-03,18,7
2015-01-03,19,3
2015-01-03,20,6
2015-01-03,21,5
2015-01-03,22,4
2015-01-04,11,4
2015-01-04,12,5
2015-01-04,13,4
2015-01-04,14,4
2015-01-04,15,3
2015-01-04,16,4
2015-01-04,17,4
2015-01-04,18,5
2015-01-04,19,4
2015-01-04,20,9
2015-01-04,21,3
2015-01-04,22,3
2015-01-05,11,4
2015-01-05,12,5
2015-01-05,13,6
2015-01-05,14,6
2015-01-05,15,3
2015-01-05,16,7
2015-01-05,17,8
2015-01-05,18,3
2015-01-05,19,6
2015-01-05,20,4
2015-01-05,21,2
2015-01-06,11,3
2015-01-06,12,10
2015-01-06,13,10
2015-01-06,14,5
2015-01-06,15,7
2015-01-06,16,5
2015-01-06,17,5
2015-01-06,18,7
2015-01-06,19,5
2015-01-06,20,4
2015-01-06,21,2
2015-01-06,22,1
2015-01-07,11,3
2015-01-07,12,11
2015-01-07,13,7
2015-01-07,14,5
2015-01-07,15,1
2015-01-07,16,8
2015-01-07,17,4
2015-01-07,18,7
2015-01-07,19,5
2015-01-07,20,3
2015-01-07,21,1
2015-01-07,22,3
2015-01-08,11,4
2015-01-08,12,12
2015-01-08,13,11
2015-01-08,14,8
2015-01-08,15,5
2015-01-08,16,4
2015-01-08,17,9
2015-01-08,18,7
2015-01-08,19,7
2015-01-08,20,1
2015-01-08,21,3
2015-01-08,22,1
2015-01-09,11,3
2015-01-09,12,9
2015-01-09,13,7
2015-01-09,14,3
2015-01-09,15,7
2015-01-09,16,3
2015-01-09,17,6
2015-01-09,18,7
2015-01-09,19,5
2015-01-09,20,6
2015-01-09,21,3
2015-01-09,22,3
2015-01-10,12,5
2015-01-10,13,11
2015-01-10,14,3
2015-01-10,15,2
2015-01-10,16,3
2015-01-10,17,6
2015-01-10,18,7
2015-01-10,19,11
2015-01-10,20,10
2015-01-10,21,4
2015-01-10,22,3
2015-01-11,11,4
2015-01-11,12,5
2015-01-11,13,6
2015-01-11,14,7
2015-01-11,16,8
2015-01-11,17,7
2015-01-11,18,4
2015-01-11,19,8
2015-01-11,20,1
2015-01-11,21,2
2015-01-12,11,2
2015-01-12,12,9
2015-01-12,13,5
2015-01-12,14,5
2015-01-12,15,8
2015-01-12,16,4
2015-01-12,17,6
2015-01-12,18,8
2015-01-12,19,5
2015-01-12,20,2
2015-01-12,21,1
2015-01-13,11,1
2015-01-13,12,5
2015-01-13,13,4
2015-01-13,14,4
2015-01-13,15,6
2015-01-13,16,8
2015-01-13,17,7
2015-01-13,18,5
2015-01-13,19,3
2015-01-13,20,3
2015-01-13,21,2
2015-01-14,11,5
2015-01-14,12,11
2015-01-14,13,4
2015-01-14,14,7
2015-01-14,15,1
2015-01-14,16,3
2015-01-14,17,9
2015-01-14,18,8
2015-01-14,19,3
2015-01-14,20,6
2015-01-14,21,4
2015-01-14,22,1
2015-01-15,11,2
2015-01-15,12,8
2015-01-15,13,7
2015-01-15,14,9
2015-01-15,15,5
2015-01-15,16,8
2015-01-15,17,6
2015-01-15,18,7
2015-01-15,19,5
2015-01-15,20,4
2015-01-15,21,1
2015-01-16,11,5
2015-01-16,12,4
2015-01-16,13,10
2015-01-16,14,2
2015-01-16,15,5
2015-01-16,16,5
2015-01-16,17,6
2015-01-16,18,5
2015-01-16,19,12
2015-01-16,20,4
2015-01-16,21,5
2015-01-16,22,4
2015-01-17,11,1
2015-01-17,12,4
2015-01-17,13,1
2015-01-17,14,7
2015-01-17,15,4
2015-01-17,16,3
2015-01-17,17,10
2015-01-17,18,4
2015-01-17,19,7
2015-01-17,20,3
2015-01-17,21,8
2015-01-17,22,3
2015-01-18,11,3
2015-01-18,12,3
2015-01-18,13,5
2015-01-18,14,8
2015-01-18,15,5
2015-01-18,16,6
2015-01-18,17,5
2015-01-18,18,8
2015-01-18,19,3
2015-01-18,20,3
2015-01-18,21,2
2015-01-19,11,6
2015-01-19,12,9
2015-01-19,13,5
2015-01-19,14,3
2015-01-19,15,3
2015-01-19,16,5
2015-01-19,17,8
2015-01-19,18,8
2015-01-19,19,5
2015-01-19,20,1
2015-01-19,21,2
2015-01-19,22,1
2015-01-20,11,6
2015-01-20,12,11
2015-01-20,13,4
2015-01-20,14,5
2015-01-20,15,5
2015-01-20,16,5
2015-01-20,17,4
2015-01-20,18,6
2015-01-20,19,8
2015-01-20,20,6
2015-01-20,22,4
2015-01-21,11,2
2015-01-21,12,4
2015-01-21,13,6
2015-01-21,14,5
2015-01-21,15,7
2015-01-21,16,7
2015-01-21,17,4
2015-01-21,18,6
2015-01-21,19,5
2015-01-21,20,2
2015-01-21,21,3
2015-01-22,11,2
2015-01-22,12,12
2015-01-22,13,11
2015-01-22,14,3
2015-01-22,15,4
2015-01-22,16,3
2015-01-22,17,12
2015-01-22,18,4
2015-01-22,19,5
2015-01-22,20,8
2015-01-22,21,2
2015-01-22,22,1
2015-01-22,23,1
2015-01-23,11,5
2015-01-23,12,8
2015-01-23,13,5
2015-01-23,14,6
2015-01-23,15,4
2015-01-23,16,7
2015-01-23,17,10
2015-01-23,18,7
2015-01-23,19,8
2015-01-23,20,5
2015-01-23,21,2
2015-01-23,22,2
2015-01-24,11,1
2015-01-24,12,3
2015-01-24,13,4
2015-01-24,14,7
2015-01-24,15,3
2015-01-24,16,7
2015-01-24,17,4
2015-01-24,18,7
2015-01-24,19,15
2015-01-24,20,8
2015-01-24,21,3
2015-01-24,22,1
2015-01-25,12,2
2015-01-25,13,4
2015-01-25,14,9
2015-01-25,15,3
2015-01-25,16,5
2015-01-25,17,5
2015-01-25,18,4
2015-01-25,19,4
2015-01-25,20,4
2015-01-25,21,4
2015-01-26,11,4
2015-01-26,12,6
2015-01-26,13,11
2015-01-26,14,9
2015-01-26,15,5
2015-01-26,16,5
2015-01-26,17,2
2015-01-26,18,4
2015-01-26,19,4
2015-01-26,20,2
2015-01-26,21,3
2015-01-27,11,3
2015-01-27,12,7
2015-01-27,13,9
2015-01-27,14,3
2015-01-27,15,4
2015-01-27,16,5
2015-01-27,17,8
2015-01-27,18,12
2015-01-27,19,1
2015-01-27,20,7
