date,Hour,quantity
2015-01-01,11,6
2015-01-01,12,17
2015-01-01,13,33
2015-01-01,14,15
2015-01-01,15,14
2015-01-01,16,9
2015-01-01,17,18
2015-01-01,18,18
2015-01-01,19,13
2015-01-01,20,8
2015-01-01,21,6
2015-01-01,22,5
2015-01-02,11,5
2015-01-02,12,29
2015-01-02,13,6
2015-01-02,14,7
2015-01-02,15,17
2015-01-02,16,6
2015-01-02,17,10
2015-01-02,18,36
2015-01-02,19,17
2015-01-02,20,8
2015-01-02,21,12
2015-01-02,22,9
2015-01-03,11,8
2015-01-03,12,2
2015-01-03,13,22
2015-01-03,14,7
2015-01-03,15,22
2015-01-03,16,12
2015-01-03,17,25
2015-01-03,18,13
2015-01-03,19,8
2015-01-03,20,18
2015-01-03,21,11
2015-01-03,22,7
2015-01-04,11,11
2015-01-04,12,9
2015-01-04,13,7
2015-01-04,14,10
2015-01-04,15,9
2015-01-04,16,9
2015-01-04,17,7
2015-01-04,18,10
2015-01-04,19,6
2015-01-04,20,19
2015-01-04,21,4
2015-01-04,22,5
2015-01-05,11,8
2015-01-05,12,6
2015-01-05,13,12
2015-01-05,14,24
2015-01-05,15,5
2015-01-05,16,14
2015-01-05,17,20
2015-01-05,18,7
2015-01-05,19,13
2015-01-05,20,11
2015-01-05,21,5
2015-01-06,11,5
2015-01-06,12,28
2015-01-06,13,30
2015-01-06,14,10
2015-01-06,15,13
2015-01-06,16,13
2015-01-06,17,12
2015-01-06,18,14
2015-01-06,19,12
2015-01-06,20,6
2015-01-06,21,3
2015-01-06,22,1
2015-01-07,11,7
2015-01-07,12,20
2015-01-07,13,25
2015-01-07,14,21
2015-01-07,15,4
2015-01-07,16,16
2015-01-07,17,9
2015-01-07,18,11
2015-01-07,19,14
2015-01-07,20,5
2015-01-07,21,1
2015-01-07,22,5
2015-01-08,11,11
2015-01-08,12,49
2015-01-08,13,22
2015-01-08,14,14
2015-01-08,15,8
2015-01-08,16,8
2015-01-08,17,22
2015-01-08,18,12
2015-01-08,19,17
2015-01-08,20,1
2015-01-08,21,8
2015-01-08,22,1
2015-01-09,11,5
2015-01-09,12,17
2015-01-09,13,11
2015-01-09,14,16
2015-01-09,15,14
2015-01-09,16,7
2015-01-09,17,11
2015-01-09,18,14
2015-01-09,19,12
2015-01-09,20,10
2015-01-09,21,4
2015-01-09,22,6
2015-01-10,12,17
2015-01-10,13,24
2015-01-10,14,3
2015-01-10,15,4
2015-01-10,16,5
2015-01-10,17,13
2015-01-10,18,16
2015-01-10,19,25
2015-01-10,20,21
2015-01-10,21,8
2015-01-10,22,10
2015-01-11,11,6
2015-01-11,12,16
2015-01-11,13,15
2015-01-11,14,15
2015-01-11,16,18
2015-01-11,17,12
2015-01-11,18,10
2015-01-11,19,17
2015-01-11,20,4
2015-01-11,21,3
2015-01-12,11,4
2015-01-12,12,12
2015-01-12,13,12
2015-01-12,14,13
2015-01-12,15,17
2015-01-12,16,11
2015-01-12,17,14
2015-01-12,18,19
2015-01-12,19,11
2015-01-12,20,4
2015-01-12,21,2
2015-01-13,11,2
2015-01-13,12,19
2015-01-13,13,11
2015-01-13,14,6
2015-01-13,15,17
2015-01-13,16,17
2015-01-13,17,14
2015-01-13,18,12
2015-01-13,19,10
2015-01-13,20,8
2015-01-13,21,4
2015-01-14,11,7
2015-01-14,12,34
2015-01-14,13,17
2015-01-14,14,9
2015-01-14,15,2
2015-01-14,16,5
2015-01-14,17,22
2015-01-14,18,21
2015-01-14,19,10
2015-01-14,20,12
2015-01-14,21,9
2015-01-14,22,2
2015-01-15,11,2
2015-01-15,12,18
2015-01-15,13,13
2015-01-15,14,20
2015-01-15,15,8
2015-01-15,16,20
2015-01-15,17,10
2015-01-15,18,13
2015-01-15,19,9
2015-01-15,20,8
2015-01-15,21,2
2015-01-16,11,10
2015-01-16,12,14
2015-01-16,13,27
2015-01-16,14,3
2015-01-16,15,10
2015-01-16,16,11
2015-01-16,17,13
2015-01-16,18,14
2015-01-16,19,28
2015-01-16,20,12
2015-01-16,21,10
2015-01-16,22,6
2015-01-17,11,1
2015-01-17,12,21
2015-01-17,13,1
2015-01-17,14,14
2015-01-17,15,5
2015-01-17,16,6
2015-01-17,17,21
2015-01-17,18,7
2015-01-17,19,16
2015-01-17,20,8
2015-01-17,21,17
2015-01-17,22,8
2015-01-18,11,4
2015-01-18,12,16
2015-01-18,13,10
2015-01-18,14,19
2015-01-18,15,9
2015-01-18,16,13
2015-01-18,17,13
2015-01-18,18,23
2015-01-18,19,4
2015-01-18,20,6
2015-01-18,21,5
2015-01-19,11,11
2015-01-19,12,43
2015-01-19,13,11
2015-01-19,14,6
2015-01-19,15,5
2015-01-19,16,10
2015-01-19,17,16
2015-01-19,18,18
2015-01-19,19,15
2015-01-19,20,1
2015-01-19,21,4
2015-01-19,22,2
2015-01-20,11,16
2015-01-20,12,43
2015-01-20,13,7
2015-01-20,14,8
2015-01-20,15,7
2015-01-20,16,9
2015-01-20,17,12
2015-01-20,18,11
2015-01-20,19,11
2015-01-20,20,13
2015-01-20,22,6
2015-01-21,11,2
2015-01-21,12,17
2015-01-21,13,10
2015-01-21,14,19
2015-01-21,15,14
2015-01-21,16,18
2015-01-21,17,10
2015-01-21,18,17
2015-01-21,19,13
2015-01-21,20,3
2015-01-21,21,6
2015-01-22,11,4
2015-01-22,12,32
2015-01-22,13,31
2015-01-22,14,7
2015-01-22,15,9
2015-01-22,16,5
2015-01-22,17,31
2015-01-22,18,12
2015-01-22,19,6
2015-01-22,20,13
2015-01-22,21,3
2015-01-22,22,3
2015-01-22,23,2
2015-01-23,11,21
2015-01-23,12,14
2015-01-23,13,7
2015-01-23,14,15
2015-01-23,15,8
2015-01-23,16,14
2015-01-23,17,19
2015-01-23,18,15
2015-01-23,19,20
2015-01-23,20,12
2015-01-23,21,5
2015-01-23,22,2
2015-01-24,11,1
2015-01-24,12,8
2015-01-24,13,4
2015-01-24,14,18
2015-01-24,15,5
